origin,destination,dist
Zona Lugano,Zona Locarno,40.64
Zona Lugano,Zona Bellinzona,30.52
Zona Lugano,Vallemaggia,58.49
Zona Lugano,Valle Verzasca,49.77
Zona Lugano,Stabio,55.14
Zona Lugano,Sonvico,36.86
Zona Lugano,Riviera,49.08
Zona Lugano,Piano di Magadino sponda sinistra,27.08
Zona Lugano,Piano di Magadino sponda destra,31.47
Zona Lugano,Pian Scairolo,38.13
Zona Lugano,Mendrisiotto,52.44
Zona Lugano,Melide,41.73
Zona Lugano,Malcantone,37.83
Zona Lugano,Leventina,70.08
Zona Lugano,Gambarogno,37.04
Zona Lugano,Chiasso,58.01
Zona Lugano,Capriasca,31.11
Zona Lugano,Blenio,62.62
Zona Lugano,Basso Vedeggio,31.83
Zona Lugano,Alto Vedeggio,23.24
Zona Locarno,Zona Lugano,65.22
Zona Locarno,Zona Bellinzona,60.98
Zona Locarno,Vallemaggia,88.95
Zona Locarno,Valle Verzasca,80.23
Zona Locarno,Stabio,85.6
Zona Locarno,Sonvico,67.32
Zona Locarno,Riviera,79.54
Zona Locarno,Piano di Magadino sponda sinistra,57.54
Zona Locarno,Piano di Magadino sponda destra,61.93
Zona Locarno,Pian Scairolo,68.58
Zona Locarno,Mendrisiotto,82.9
Zona Locarno,Melide,72.19
Zona Locarno,Malcantone,68.29
Zona Locarno,Leventina,100.54
Zona Locarno,Gambarogno,67.49
Zona Locarno,Chiasso,88.47
Zona Locarno,Capriasca,61.57
Zona Locarno,Blenio,93.08
Zona Locarno,Basso Vedeggio,62.29
Zona Locarno,Alto Vedeggio,53.7
Zona Bellinzona,Zona Lugano,55.95
Zona Bellinzona,Zona Locarno,61.83
Zona Bellinzona,Vallemaggia,79.68
Zona Bellinzona,Valle Verzasca,70.96
Zona Bellinzona,Stabio,76.33
Zona Bellinzona,Sonvico,58.05
Zona Bellinzona,Riviera,70.27
Zona Bellinzona,Piano di Magadino sponda sinistra,48.27
Zona Bellinzona,Piano di Magadino sponda destra,52.66
Zona Bellinzona,Pian Scairolo,59.32
Zona Bellinzona,Mendrisiotto,73.63
Zona Bellinzona,Melide,62.92
Zona Bellinzona,Malcantone,59.03
Zona Bellinzona,Leventina,91.27
Zona Bellinzona,Gambarogno,58.23
Zona Bellinzona,Chiasso,79.2
Zona Bellinzona,Capriasca,52.3
Zona Bellinzona,Blenio,83.81
Zona Bellinzona,Basso Vedeggio,53.02
Zona Bellinzona,Alto Vedeggio,44.43
Vallemaggia,Zona Lugano,83.29
Vallemaggia,Zona Locarno,89.18
Vallemaggia,Zona Bellinzona,79.06
Vallemaggia,Valle Verzasca,98.31
Vallemaggia,Stabio,103.67
Vallemaggia,Sonvico,85.4
Vallemaggia,Riviera,97.62
Vallemaggia,Piano di Magadino sponda sinistra,75.61
Vallemaggia,Piano di Magadino sponda destra,80.0
Vallemaggia,Pian Scairolo,86.66
Vallemaggia,Mendrisiotto,100.98
Vallemaggia,Melide,90.26
Vallemaggia,Malcantone,86.37
Vallemaggia,Leventina,118.62
Vallemaggia,Gambarogno,85.57
Vallemaggia,Chiasso,106.55
Vallemaggia,Capriasca,79.65
Vallemaggia,Blenio,111.15
Vallemaggia,Basso Vedeggio,80.36
Vallemaggia,Alto Vedeggio,71.77
Valle Verzasca,Zona Lugano,75.02
Valle Verzasca,Zona Locarno,80.9
Valle Verzasca,Zona Bellinzona,70.78
Valle Verzasca,Vallemaggia,98.75
Valle Verzasca,Stabio,95.4
Valle Verzasca,Sonvico,77.12
Valle Verzasca,Riviera,89.34
Valle Verzasca,Piano di Magadino sponda sinistra,67.34
Valle Verzasca,Piano di Magadino sponda destra,71.73
Valle Verzasca,Pian Scairolo,78.39
Valle Verzasca,Mendrisiotto,92.7
Valle Verzasca,Melide,81.99
Valle Verzasca,Malcantone,78.1
Valle Verzasca,Leventina,110.35
Valle Verzasca,Gambarogno,77.3
Valle Verzasca,Chiasso,98.27
Valle Verzasca,Capriasca,71.37
Valle Verzasca,Blenio,102.88
Valle Verzasca,Basso Vedeggio,72.09
Valle Verzasca,Alto Vedeggio,63.5
Stabio,Zona Lugano,55.07
Stabio,Zona Locarno,60.96
Stabio,Zona Bellinzona,50.84
Stabio,Vallemaggia,78.81
Stabio,Valle Verzasca,70.09
Stabio,Sonvico,57.18
Stabio,Riviera,69.4
Stabio,Piano di Magadino sponda sinistra,47.4
Stabio,Piano di Magadino sponda destra,51.79
Stabio,Pian Scairolo,58.44
Stabio,Mendrisiotto,72.76
Stabio,Melide,62.04
Stabio,Malcantone,58.15
Stabio,Leventina,90.4
Stabio,Gambarogno,57.35
Stabio,Chiasso,78.33
Stabio,Capriasca,51.43
Stabio,Blenio,82.94
Stabio,Basso Vedeggio,52.15
Stabio,Alto Vedeggio,43.56
Sonvico,Zona Lugano,35.91
Sonvico,Zona Locarno,41.8
Sonvico,Zona Bellinzona,31.68
Sonvico,Vallemaggia,59.65
Sonvico,Valle Verzasca,50.93
Sonvico,Stabio,56.29
Sonvico,Riviera,50.24
Sonvico,Piano di Magadino sponda sinistra,28.24
Sonvico,Piano di Magadino sponda destra,32.63
Sonvico,Pian Scairolo,39.28
Sonvico,Mendrisiotto,53.6
Sonvico,Melide,42.88
Sonvico,Malcantone,38.99
Sonvico,Leventina,71.24
Sonvico,Gambarogno,38.19
Sonvico,Chiasso,59.17
Sonvico,Capriasca,32.27
Sonvico,Blenio,63.78
Sonvico,Basso Vedeggio,32.98
Sonvico,Alto Vedeggio,24.4
Riviera,Zona Lugano,74.03
Riviera,Zona Locarno,79.92
Riviera,Zona Bellinzona,69.8
Riviera,Vallemaggia,97.77
Riviera,Valle Verzasca,89.05
Riviera,Stabio,94.41
Riviera,Sonvico,76.14
Riviera,Piano di Magadino sponda sinistra,66.36
Riviera,Piano di Magadino sponda destra,70.75
Riviera,Pian Scairolo,77.4
Riviera,Mendrisiotto,91.72
Riviera,Melide,81.0
Riviera,Malcantone,77.11
Riviera,Leventina,109.36
Riviera,Gambarogno,76.31
Riviera,Chiasso,97.29
Riviera,Capriasca,70.39
Riviera,Blenio,101.9
Riviera,Basso Vedeggio,71.1
Riviera,Alto Vedeggio,62.52
Piano di Magadino sponda sinistra,Zona Lugano,51.62
Piano di Magadino sponda sinistra,Zona Locarno,57.51
Piano di Magadino sponda sinistra,Zona Bellinzona,47.39
Piano di Magadino sponda sinistra,Vallemaggia,75.36
Piano di Magadino sponda sinistra,Valle Verzasca,66.64
Piano di Magadino sponda sinistra,Stabio,72.0
Piano di Magadino sponda sinistra,Sonvico,53.72
Piano di Magadino sponda sinistra,Riviera,65.94
