origin,destination,time
Zona Lugano,Zona Locarno,32.2
Zona Lugano,Zona Bellinzona,21.17
Zona Lugano,Vallemaggia,49.51
Zona Lugano,Valle Verzasca,44.92
Zona Lugano,Stabio,33.85
Zona Lugano,Sonvico,26.13
Zona Lugano,Riviera,30.37
Zona Lugano,Piano di Magadino sponda sinistra,20.04
Zona Lugano,Piano di Magadino sponda destra,25.79
Zona Lugano,Pian Scairolo,25.77
Zona Lugano,Mendrisiotto,33.39
Zona Lugano,Melide,26.62
Zona Lugano,Malcantone,27.87
Zona Lugano,Leventina,41.64
Zona Lugano,Gambarogno,31.8
Zona Lugano,Chiasso,35.65
Zona Lugano,Capriasca,26.74
Zona Lugano,Blenio,40.25
Zona Lugano,Basso Vedeggio,23.51
Zona Lugano,Alto Vedeggio,18.31
Zona Locarno,Zona Lugano,45.78
Zona Locarno,Zona Bellinzona,43.12
Zona Locarno,Vallemaggia,71.46
Zona Locarno,Valle Verzasca,66.87
Zona Locarno,Stabio,55.8
Zona Locarno,Sonvico,48.08
Zona Locarno,Riviera,52.32
Zona Locarno,Piano di Magadino sponda sinistra,41.99
Zona Locarno,Piano di Magadino sponda destra,47.74
Zona Locarno,Pian Scairolo,47.72
Zona Locarno,Mendrisiotto,55.34
Zona Locarno,Melide,48.57
Zona Locarno,Malcantone,49.82
Zona Locarno,Leventina,63.59
Zona Locarno,Gambarogno,53.74
Zona Locarno,Chiasso,57.6
Zona Locarno,Capriasca,48.68
Zona Locarno,Blenio,62.2
Zona Locarno,Basso Vedeggio,45.46
Zona Locarno,Alto Vedeggio,40.26
Zona Bellinzona,Zona Lugano,35.9
Zona Bellinzona,Zona Locarno,44.28
Zona Bellinzona,Vallemaggia,61.59
Zona Bellinzona,Valle Verzasca,56.99
Zona Bellinzona,Stabio,45.93
Zona Bellinzona,Sonvico,38.21
Zona Bellinzona,Riviera,42.44
Zona Bellinzona,Piano di Magadino sponda sinistra,32.11
Zona Bellinzona,Piano di Magadino sponda destra,37.87
Zona Bellinzona,Pian Scairolo,37.85
Zona Bellinzona,Mendrisiotto,45.47
Zona Bellinzona,Melide,38.7
Zona Bellinzona,Malcantone,39.95
Zona Bellinzona,Leventina,53.72
Zona Bellinzona,Gambarogno,43.87
Zona Bellinzona,Chiasso,47.73
Zona Bellinzona,Capriasca,38.81
Zona Bellinzona,Blenio,52.32
Zona Bellinzona,Basso Vedeggio,35.59
Zona Bellinzona,Alto Vedeggio,30.39
Vallemaggia,Zona Lugano,63.44
Vallemaggia,Zona Locarno,71.81
Vallemaggia,Zona Bellinzona,60.78
Vallemaggia,Valle Verzasca,84.53
Vallemaggia,Stabio,73.46
Vallemaggia,Sonvico,65.74
Vallemaggia,Riviera,69.97
Vallemaggia,Piano di Magadino sponda sinistra,59.64
Vallemaggia,Piano di Magadino sponda destra,65.4
Vallemaggia,Pian Scairolo,65.38
Vallemaggia,Mendrisiotto,73.0
Vallemaggia,Melide,66.23
Vallemaggia,Malcantone,67.48
Vallemaggia,Leventina,81.25
Vallemaggia,Gambarogno,71.4
Vallemaggia,Chiasso,75.26
Vallemaggia,Capriasca,66.34
Vallemaggia,Blenio,79.85
Vallemaggia,Basso Vedeggio,63.12
Vallemaggia,Alto Vedeggio,57.92
Valle Verzasca,Zona Lugano,59.86
Valle Verzasca,Zona Locarno,68.24
Valle Verzasca,Zona Bellinzona,57.21
Valle Verzasca,Vallemaggia,85.55
Valle Verzasca,Stabio,69.89
Valle Verzasca,Sonvico,62.17
Valle Verzasca,Riviera,66.4
Valle Verzasca,Piano di Magadino sponda sinistra,56.07
Valle Verzasca,Piano di Magadino sponda destra,61.83
Valle Verzasca,Pian Scairolo,61.81
Valle Verzasca,Mendrisiotto,69.43
Valle Verzasca,Melide,62.66
Valle Verzasca,Malcantone,63.91
Valle Verzasca,Leventina,77.68
Valle Verzasca,Gambarogno,67.83
Valle Verzasca,Chiasso,71.69
Valle Verzasca,Capriasca,62.77
Valle Verzasca,Blenio,76.28
Valle Verzasca,Basso Vedeggio,59.55
Valle Verzasca,Alto Vedeggio,54.34
Stabio,Zona Lugano,34.15
Stabio,Zona Locarno,42.53
Stabio,Zona Bellinzona,31.5
Stabio,Vallemaggia,59.84
Stabio,Valle Verzasca,55.24
Stabio,Sonvico,36.46
Stabio,Riviera,40.69
Stabio,Piano di Magadino sponda sinistra,30.36
Stabio,Piano di Magadino sponda destra,36.11
Stabio,Pian Scairolo,36.09
Stabio,Mendrisiotto,43.72
Stabio,Melide,36.95
Stabio,Malcantone,38.19
Stabio,Leventina,51.96
Stabio,Gambarogno,42.12
Stabio,Chiasso,45.98
Stabio,Capriasca,37.06
Stabio,Blenio,50.57
Stabio,Basso Vedeggio,33.83
Stabio,Alto Vedeggio,28.63
Sonvico,Zona Lugano,25.17
Sonvico,Zona Locarno,33.54
Sonvico,Zona Bellinzona,22.51
Sonvico,Vallemaggia,50.85
Sonvico,Valle Verzasca,46.26
Sonvico,Stabio,35.19
Sonvico,Riviera,31.71
Sonvico,Piano di Magadino sponda sinistra,21.38
Sonvico,Piano di Magadino sponda destra,27.13
Sonvico,Pian Scairolo,27.11
Sonvico,Mendrisiotto,34.73
Sonvico,Melide,27.96
Sonvico,Malcantone,29.21
Sonvico,Leventina,42.98
Sonvico,Gambarogno,33.14
Sonvico,Chiasso,36.99
Sonvico,Capriasca,28.08
Sonvico,Blenio,41.59
Sonvico,Basso Vedeggio,24.85
Sonvico,Alto Vedeggio,19.65
Riviera,Zona Lugano,44.37
Riviera,Zona Locarno,52.74
Riviera,Zona Bellinzona,41.71
Riviera,Vallemaggia,70.05
Riviera,Valle Verzasca,65.46
Riviera,Stabio,54.39
Riviera,Sonvico,46.67
Riviera,Piano di Magadino sponda sinistra,40.57
Riviera,Piano di Magadino sponda destra,46.33
Riviera,Pian Scairolo,46.31
Riviera,Mendrisiotto,53.93
Riviera,Melide,47.16
Riviera,Malcantone,48.41
Riviera,Leventina,62.18
Riviera,Gambarogno,52.33
Riviera,Chiasso,56.19
Riviera,Capriasca,47.27
Riviera,Blenio,60.78
Riviera,Basso Vedeggio,44.05
Riviera,Alto Vedeggio,38.85
Piano di Magadino sponda sinistra,Zona Lugano,33.5
Piano di Magadino sponda sinistra,Zona Locarno,41.87
Piano di Magadino sponda sinistra,Zona Bellinzona,30.84
Piano di Magadino sponda sinistra,Vallemaggia,59.18
Piano di Magadino sponda sinistra,Valle Verzasca,54.59
Piano di Magadino sponda sinistra,Stabio,43.52
Piano di Magadino sponda sinistra,Sonvico,35.8
Piano di Magadino sponda sinistra,Riviera,40.04
Piano di Magadino sponda sinistra,Piano di Magadino sponda destra,35.46
Piano di Magadino sponda sinistra,Pian Scairolo,35.44
Piano di Magadino sponda sinistra,Mendrisiotto,43.06
Piano di Magadino sponda sinistra,Melide,36.29
Piano di Magadino sponda sinistra,Malcantone,37.54
Piano di Magadino sponda sinistra,Leventina,51.31
Piano di Magadino sponda sinistra,Gambarogno,41.46
Piano di Magadino sponda sinistra,Chiasso,45.32
Piano di Magadino sponda sinistra,Capriasca,36.4
Piano di Magadino sponda sinistra,Blenio,49.92
Piano di Magadino sponda sinistra,Basso Vedeggio,33.18
Piano di Magadino sponda sinistra,Alto Vedeggio,27.98
Piano di Magadino sponda destra,Zona Lugano,39.43
Piano di Magadino sponda destra,Zona Locarno,47.81
Piano di Magadino sponda destra,Zona Bellinzona,36.78
Piano di Magadino sponda destra,Vallemaggia,65.12
Piano di Magadino sponda destra,Valle Verzasca,60.52
Piano di Magadino sponda destra,Stabio,49.46
Piano di Magadino sponda destra,Sonvico,41.74
Piano di Magadino sponda destra,Riviera,45.97
Piano di Magadino sponda destra,Piano di Magadino sponda sinistra,35.64
Piano di Magadino sponda destra,Pian Scairolo,41.38
Piano di Magadino sponda destra,Mendrisiotto,49.0
