origin,destination,dist
Zona Lugano,Zona Locarno,41.98
Zona Lugano,Zona Bellinzona,26.25
Zona Lugano,Vallemaggia,57.69
Zona Lugano,Valle Verzasca,51.34
Zona Lugano,Stabio,22.19
Zona Lugano,Sonvico,6.58
Zona Lugano,Riviera,43.0
Zona Lugano,Piano di Magadino sponda sinistra,29.84
Zona Lugano,Piano di Magadino sponda destra,34.31
Zona Lugano,Pian Scairolo,5.82
Zona Lugano,Mendrisiotto,18.48
Zona Lugano,Melide,9.19
Zona Lugano,Malcantone,10.97
Zona Lugano,Leventina,64.42
Zona Lugano,Gambarogno,40.08
Zona Lugano,Chiasso,23.11
Zona Lugano,Capriasca,9.67
Zona Lugano,Blenio,57.24
Zona Lugano,Basso Vedeggio,7.04
Zona Lugano,Alto Vedeggio,13.16
Zona Locarno,Zona Lugano,41.71
Zona Locarno,Zona Bellinzona,20.65
Zona Locarno,Vallemaggia,17.74
Zona Locarno,Valle Verzasca,19.62
Zona Locarno,Stabio,62.54
Zona Locarno,Sonvico,46.42
Zona Locarno,Riviera,38.52
Zona Locarno,Piano di Magadino sponda sinistra,15.14
Zona Locarno,Piano di Magadino sponda destra,10.27
Zona Locarno,Pian Scairolo,44.85
Zona Locarno,Mendrisiotto,58.62
Zona Locarno,Melide,48.97
Zona Locarno,Malcantone,49.36
Zona Locarno,Leventina,60.19
Zona Locarno,Gambarogno,10.16
Zona Locarno,Chiasso,63.49
Zona Locarno,Capriasca,46.61
Zona Locarno,Blenio,52.73
Zona Locarno,Basso Vedeggio,37.86
Zona Locarno,Alto Vedeggio,34.27
Zona Bellinzona,Zona Lugano,25.84
Zona Bellinzona,Zona Locarno,20.66
Zona Bellinzona,Vallemaggia,36.15
Zona Bellinzona,Valle Verzasca,29.21
Zona Bellinzona,Stabio,45.72
Zona Bellinzona,Sonvico,30.26
Zona Bellinzona,Riviera,19.05
Zona Bellinzona,Piano di Magadino sponda sinistra,9.98
Zona Bellinzona,Piano di Magadino sponda destra,11.23
Zona Bellinzona,Pian Scairolo,28.95
Zona Bellinzona,Mendrisiotto,42.02
Zona Bellinzona,Melide,32.66
Zona Bellinzona,Malcantone,33.13
Zona Bellinzona,Leventina,40.81
Zona Bellinzona,Gambarogno,20.02
Zona Bellinzona,Chiasso,46.6
Zona Bellinzona,Capriasca,29.94
Zona Bellinzona,Blenio,33.24
Zona Bellinzona,Basso Vedeggio,21.85
Zona Bellinzona,Alto Vedeggio,17.28
Vallemaggia,Zona Lugano,62.4
Vallemaggia,Zona Locarno,17.37
Vallemaggia,Zona Bellinzona,37.14
Vallemaggia,Valle Verzasca,34.34
Vallemaggia,Stabio,81.23
Vallemaggia,Sonvico,66.72
Vallemaggia,Riviera,54.86
Vallemaggia,Piano di Magadino sponda sinistra,30.53
Vallemaggia,Piano di Magadino sponda destra,25.7
Vallemaggia,Pian Scairolo,64.93
Vallemaggia,Mendrisiotto,77.12
Vallemaggia,Melide,68.03
Vallemaggia,Malcantone,69.61
Vallemaggia,Leventina,76.46
Vallemaggia,Gambarogno,24.23
Vallemaggia,Chiasso,82.57
Vallemaggia,Capriasca,64.59
Vallemaggia,Blenio,68.59
Vallemaggia,Basso Vedeggio,57.77
Vallemaggia,Alto Vedeggio,52.54
Valle Verzasca,Zona Lugano,49.3
Valle Verzasca,Zona Locarno,19.83
Valle Verzasca,Zona Bellinzona,30.35
Valle Verzasca,Vallemaggia,35.42
Valle Verzasca,Stabio,72.34
Valle Verzasca,Sonvico,53.88
Valle Verzasca,Riviera,48.26
Valle Verzasca,Piano di Magadino sponda sinistra,24.24
Valle Verzasca,Piano di Magadino sponda destra,18.33
Valle Verzasca,Pian Scairolo,53.79
Valle Verzasca,Mendrisiotto,65.88
Valle Verzasca,Melide,56.32
Valle Verzasca,Malcantone,56.81
Valle Verzasca,Leventina,70.02
Valle Verzasca,Gambarogno,26.55
Valle Verzasca,Chiasso,70.94
Valle Verzasca,Capriasca,52.1
Valle Verzasca,Blenio,62.25
Valle Verzasca,Basso Vedeggio,44.99
